,,Visual Properties,,,,,Labels,,,Graph Metrics,Do Not Edit,,Other Columns,,,,,,,,,,,,
leahkiser55,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 14:02,RT @NatGeoMaps: Baby fish have started eating plastic. We haven’t yet seen the consequences https://t.co/3CgCpu2s4o https://t.co/CMXCdjEWnV,https://on.natgeo.com/2ILXUm9,natgeo.com,,4/28/2019 14:02,https://twitter.com/#!/leahkiser55/status/1122501411646967812,,,1122501411646967812,
cheg00,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 14:22,RT @NatGeoMaps: Baby fish have started eating plastic. We haven’t yet seen the consequences https://t.co/3CgCpu2s4o https://t.co/CMXCdjEWnV,https://on.natgeo.com/2ILXUm9,natgeo.com,,4/28/2019 14:22,https://twitter.com/#!/cheg00/status/1122506267480797187,,,1122506267480797187,
beaudrybritnay,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 15:03,RT @NatGeoMaps: Baby fish have started eating plastic. We haven’t yet seen the consequences https://t.co/3CgCpu2s4o https://t.co/CMXCdjEWnV,https://on.natgeo.com/2ILXUm9,natgeo.com,,4/28/2019 15:03,https://twitter.com/#!/beaudrybritnay/status/1122516700107366402,,,1122516700107366402,
fly1nwa11,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 17:12,RT @NatGeoMaps: Baby fish have started eating plastic. We haven’t yet seen the consequences https://t.co/3CgCpu2s4o https://t.co/CMXCdjEWnV,https://on.natgeo.com/2ILXUm9,natgeo.com,,4/28/2019 17:12,https://twitter.com/#!/fly1nwa11/status/1122549233297625089,,,1122549233297625089,
hugopacilio,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 20:01,"RT @NatGeoMaps: Map of the Day: Designed and painted by Christopher A. Klein, this colorful illustration from October 1987 depicts the pain…",,,,4/28/2019 20:01,https://twitter.com/#!/hugopacilio/status/1122591636649803776,,,1122591636649803776,
mrada_torres,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 21:43,"RT @NatGeoMaps: Map of the Day: Designed and painted by Christopher A. Klein, this colorful illustration from October 1987 depicts the pain…",,,,4/28/2019 21:43,https://twitter.com/#!/mrada_torres/status/1122617464116797442,,,1122617464116797442,
cliffhight1,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 22:41,"RT @NatGeoMaps: Conventional wisdom holds that all tree planting is good for fighting climate change and supporting wildlife, but research…",,,,4/28/2019 22:41,https://twitter.com/#!/cliffhight1/status/1122632050853519364,,,1122632050853519364,
chrisbalster,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 23:32,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/28/2019 23:32,https://twitter.com/#!/chrisbalster/status/1122644908068597760,,,1122644908068597760,
grouperdoc,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 23:58,"RT @NatGeoMaps: Map of the Day: Designed and painted by Christopher A. Klein, this colorful illustration from October 1987 depicts the pain…",,,,4/28/2019 23:58,https://twitter.com/#!/grouperdoc/status/1122651381620330496,,,1122651381620330496,
megamimehive,natgeomaps,,,,,,,,,,,,,Mentions,4/28/2019 23:59,"RT @NatGeoMaps: New research shows that global warming has already affected the economies of nations around the world, and the countries th…",,,,4/28/2019 23:59,https://twitter.com/#!/megamimehive/status/1122651697007005696,,,1122651697007005696,
ktgis,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 0:04,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 0:04,https://twitter.com/#!/ktgis/status/1122652915275952128,,,1122652915275952128,
hayakawayukio,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 0:17,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 0:17,https://twitter.com/#!/hayakawayukio/status/1122656076976070656,,,1122656076976070656,
vincsalazar,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 1:16,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 1:16,https://twitter.com/#!/vincsalazar/status/1122670866968399872,,,1122670866968399872,
neuroeco,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 1:43,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 1:43,https://twitter.com/#!/neuroeco/status/1122677878905171968,,,1122677878905171968,
sazanamigiro,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 3:05,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 3:05,https://twitter.com/#!/sazanamigiro/status/1122698380944134145,,,1122698380944134145,
320_o,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 3:14,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 3:14,https://twitter.com/#!/320_o/status/1122700696254435330,,,1122700696254435330,
bdnanga,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 5:40,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 5:40,https://twitter.com/#!/bdnanga/status/1122737454216302592,,,1122737454216302592,
vibhew,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 6:03,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 6:03,https://twitter.com/#!/vibhew/status/1122743198202257408,,,1122743198202257408,
kst853,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 6:58,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 6:58,https://twitter.com/#!/kst853/status/1122757031377506304,,,1122757031377506304,
jcflpdn,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 8:43,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 8:43,https://twitter.com/#!/jcflpdn/status/1122783397452165121,,,1122783397452165121,
amd66100,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 8:45,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 8:45,https://twitter.com/#!/amd66100/status/1122783867742691328,,,1122783867742691328,
takidony1r,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 12:44,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 12:44,https://twitter.com/#!/takidony1r/status/1122844128188882945,,,1122844128188882945,
ahmedsb,hattanasali,,,,,,,,,,,,,Mentions,4/29/2019 13:09,RT @HattanAsali: ?? ??? ????? ???? ????? ??????? ??????? ?? ?? ???? ?? ???? ????? ??????? ??????? ?????? ???????? ???????? ???????? ???????…,,,,4/29/2019 13:09,https://twitter.com/#!/ahmedsb/status/1122850478113603585,,,1122850478113603585,
shereen93,hattanasali,,,,,,,,,,,,,Mentions,4/29/2019 13:25,RT @HattanAsali: ?? ??? ????? ???? ????? ??????? ??????? ?? ?? ???? ?? ???? ????? ??????? ??????? ?????? ???????? ???????? ???????? ???????…,,,,4/29/2019 13:25,https://twitter.com/#!/shereen93/status/1122854361762279425,,,1122854361762279425,
sun3wind,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 14:03,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 14:03,https://twitter.com/#!/sun3wind/status/1122863999538778114,,,1122863999538778114,
atelierhgsempai,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 14:36,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 14:36,https://twitter.com/#!/atelierhgsempai/status/1122872238066339840,,,1122872238066339840,
oana_candit,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 15:37,"RT @NatGeoMaps: Map of the Day: Designed and painted by Christopher A. Klein, this colorful illustration from October 1987 depicts the pain…",,,,4/29/2019 15:37,https://twitter.com/#!/oana_candit/status/1122887578464739329,,,1122887578464739329,
cic_fernandes,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 16:39,"RT @NatGeoMaps: New research shows that global warming has already affected the economies of nations around the world, and the countries th…",,,,4/29/2019 16:39,https://twitter.com/#!/cic_fernandes/status/1122903190108815361,,,1122903190108815361,
helenaoax,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 17:27,"RT @NatGeoMaps: Map of the Day: Published in 1941, this map locates Tres Zapotes, Cerro de las Mesas, and La Venta in southern Mexico. Thes…",,,,4/29/2019 17:27,https://twitter.com/#!/helenaoax/status/1122915310451949569,,,1122915310451949569,
bdgroves,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 18:34,"RT @NatGeoMaps: Map of the Day: Designed and painted by Christopher A. Klein, this colorful illustration from October 1987 depicts the pain…",,,,4/29/2019 18:34,https://twitter.com/#!/bdgroves/status/1122932261769269248,,,1122932261769269248,
iammsschaefer,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 18:51,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 18:51,https://twitter.com/#!/iammsschaefer/status/1122936483252449285,,,1122936483252449285,
vinko_dgtl,vinko_dgtl,,,,,,,,,,,,,Tweet,4/29/2019 19:32,jump forest jump https://t.co/0MkX8Tl36p,https://twitter.com/NatGeoMaps/status/1122867307880112128,twitter.com,,4/29/2019 19:32,https://twitter.com/#!/vinko_dgtl/status/1122946775906684929,,,1122946775906684929,
m_guerente,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 20:30,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 20:30,https://twitter.com/#!/m_guerente/status/1122961365650612226,,,1122961365650612226,
zoomhistoire,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 20:35,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 20:35,https://twitter.com/#!/zoomhistoire/status/1122962694858997760,,,1122962694858997760,
bumblebea96,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 20:47,"RT @NatGeoMaps: New research shows that global warming has already affected the economies of nations around the world, and the countries th…",,,,4/29/2019 20:47,https://twitter.com/#!/bumblebea96/status/1122965539746471936,,,1122965539746471936,
canalesgraphics,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 10:33,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/30/2019 10:33,https://twitter.com/#!/canalesgraphics/status/1123173617649553409,,,1123173617649553409,
pabloroblesg,natgeomaps,,,,,,,,,,,,,Mentions,4/29/2019 11:58,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/29/2019 11:58,https://twitter.com/#!/pabloroblesg/status/1122832639629545473,,,1122832639629545473,
pabloroblesg,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 11:19,RT @NatGeoMaps: See which countries fund the most scientific research https://t.co/Xl5iK6Mv3h https://t.co/oJbYr4K0SJ,https://on.natgeo.com/2UXOz12,natgeo.com,,4/30/2019 11:19,https://twitter.com/#!/pabloroblesg/status/1123185019072081921,,,1123185019072081921,
williaml_hoste,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 11:26,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/30/2019 11:26,https://twitter.com/#!/williaml_hoste/status/1123186755170197505,,,1123186755170197505,
mapchwastyk,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 12:02,RT @NatGeoMaps: Tokyo became a megacity by reinventing itself https://t.co/bXRKG6bqQe https://t.co/cZIN8uzsVw,https://on.natgeo.com/2vpNEr4,natgeo.com,,4/30/2019 12:02,https://twitter.com/#!/mapchwastyk/status/1123195881929543680,,,1123195881929543680,
hattanasali,hattanasali,,,,,,,,,,,,,Tweet,4/29/2019 13:07,?? ??? ????? ???? ????? ??????? ??????? ?? ?? ???? ?? ???? ????? ??????? ??????? ?????? ???????? ???????? ????????… https://t.co/7lSKzLb5uC,https://twitter.com/i/web/status/1122849768345149442,twitter.com,,4/29/2019 13:07,https://twitter.com/#!/hattanasali/status/1122849768345149442,,,1122849768345149442,
abojasem6m,hattanasali,,,,,,,,,,,,,Mentions,4/30/2019 14:01,RT @HattanAsali: ?? ??? ????? ???? ????? ??????? ??????? ?? ?? ???? ?? ???? ????? ??????? ??????? ?????? ???????? ???????? ???????? ???????…,,,,4/30/2019 14:01,https://twitter.com/#!/abojasem6m/status/1123225747458592768,,,1123225747458592768,
metricmaps,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 16:38,RT @NatGeoMaps: One of the snowiest places on Earth is losing its glaciers https://t.co/SOgHJeIxG2 https://t.co/C0X3dpzKxc,https://on.natgeo.com/2vA4JhX,natgeo.com,,4/30/2019 16:38,https://twitter.com/#!/metricmaps/status/1123265273195184128,,,1123265273195184128,
fleshandbones2,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 17:20,RT @NatGeoMaps: One of the snowiest places on Earth is losing its glaciers https://t.co/SOgHJeIxG2 https://t.co/C0X3dpzKxc,https://on.natgeo.com/2vA4JhX,natgeo.com,,4/30/2019 17:20,https://twitter.com/#!/fleshandbones2/status/1123275898453671941,,,1123275898453671941,
spatialanalysis,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 17:23,RT @NatGeoMaps: One of the snowiest places on Earth is losing its glaciers https://t.co/SOgHJeIxG2 https://t.co/C0X3dpzKxc,https://on.natgeo.com/2vA4JhX,natgeo.com,,4/30/2019 17:23,https://twitter.com/#!/spatialanalysis/status/1123276670411202560,,,1123276670411202560,
ettaboyle,ettaboyle,,,,,,,,,,,,,Tweet,4/30/2019 18:22,"Brilliant image, heart-breaking reality ?? https://t.co/EbHKqHBvLE",https://twitter.com/NatGeoMaps/status/1123255865950244864,twitter.com,,4/30/2019 18:22,https://twitter.com/#!/ettaboyle/status/1123291589558685696,,,1123291589558685696,
recifs,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 19:42,RT @NatGeoMaps: One of the snowiest places on Earth is losing its glaciers https://t.co/SOgHJeIxG2 https://t.co/C0X3dpzKxc,https://on.natgeo.com/2vA4JhX,natgeo.com,,4/30/2019 19:42,https://twitter.com/#!/recifs/status/1123311676634411009,,,1123311676634411009,
nicktscully,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 21:01,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 21:01,https://twitter.com/#!/nicktscully/status/1123331654347575297,,,1123331654347575297,
michaelapsantos,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 21:03,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 21:03,https://twitter.com/#!/michaelapsantos/status/1123332086046318594,,,1123332086046318594,
brennercrick,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 21:21,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 21:21,https://twitter.com/#!/brennercrick/status/1123336495933292551,,,1123336495933292551,
mapporntweet,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 21:59,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 21:59,https://twitter.com/#!/mapporntweet/status/1123346152269549568,,,1123346152269549568,
sykulskileszek,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 22:02,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 22:02,https://twitter.com/#!/sykulskileszek/status/1123346942191439873,,,1123346942191439873,
orliox,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 22:03,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 22:03,https://twitter.com/#!/orliox/status/1123347147691368448,,,1123347147691368448,
tightheadyt,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 22:06,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 22:06,https://twitter.com/#!/tightheadyt/status/1123347836601602049,,,1123347836601602049,
napiez,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 22:08,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 22:08,https://twitter.com/#!/napiez/status/1123348449397633025,,,1123348449397633025,
susancaldis,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 22:42,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 22:42,https://twitter.com/#!/susancaldis/status/1123356962207363072,,,1123356962207363072,
montopher,natgeomaps,,,,,,,,,,,,,Mentions,4/30/2019 22:43,"RT @NatGeoMaps: Map of the Day: Chile spans 2,650 miles (4,265 kilometers) north to south. This significant latitude change is reflected in…",,,,4/30/2019 22:43,https://twitter.com/#!/montopher/status/1123357269146591232,,,1123357269146591232,
robacollins,margot_carto,,,,,,,,,,,,,Mentions,4/30/2019 22:52,"Links to all the great map people here - @grssnbchr, @angelozehr, @MapesGeog, @margot_carto, @NatGeoMaps ??? go give… https://t.co/j9ICo5RIz5",https://twitter.com/i/web/status/1123359508061986818,twitter.com,,4/30/2019 22:52,https://twitter.com/#!/robacollins/status/1123359508061986818,,,1123359508061986818,1123289958012338177
